x,y
-715982.658333580940962,-1095752.247975789010525
-716123.763482719659805,-1095517.895550720393658
-715950.340334251523018,-1095227.671105261892080
-716114.472841531038284,-1094896.799493432044983
-716136.886574514210224,-1094672.856693625450134
-716172.649710673838854,-1094328.873864363878965
-720782.712177529931068,-1095307.849422521889210
-720747.570000696927309,-1094114.019492328166962
-720867.527258858084679,-1093588.017872884869576
-720428.926537871360779,-1093235.394349180161953
-720260.555232301354408,-1092673.643388789147139
-719531.429539706557989,-1092768.005283221602440
-719296.542768310755491,-1092702.656648166477680
-718900.444932136684656,-1092777.642027158290148
-718479.363960411399603,-1092843.752891533076763
-718205.135504063218832,-1092294.551910307258368
-717869.730330351740122,-1092090.166011482477188
-717928.947079356759787,-1091805.193002991378307
-717722.850923035293818,-1091756.632272273302078
-717584.082753278315067,-1091593.869682293385267
-717266.803270574659109,-1091624.174627877771854
-717264.831078603863716,-1091517.035744406282902
-717245.395016726106405,-1091410.362755052745342
-716967.783414706587791,-1091265.021077722311020
-716580.080403819680214,-1090995.774789702147245
-715818.480424322187901,-1090126.115139745175838
-715674.939459197223186,-1089795.007263019680977
-715567.775604635477066,-1089790.858220942318439
-714936.172831710427999,-1089696.818156670778990
-714754.200141992419958,-1089709.280300475656986
-719042.992117870599031,-1089884.727503936737776
-718442.729280944913626,-1089891.569057788699865
-717676.433165565133095,-1090101.973686970770359
-717418.645463064312935,-1090096.518639605492353
-717230.496358443051577,-1090079.567113533616066
-716950.126761030405760,-1090005.713640715926886
-716330.948587965220213,-1089769.630003392696381
-715798.797794796526432,-1089715.688963949680328
-715742.741547159850597,-1089751.587258301675320
-708887.470537632703781,-1089010.066477123647928
-708224.965084653347731,-1089250.510101087391376
